name,link,category,businessDescription,longBusinessDescription,basedIn,tags,totalFunding,founded,website,linkedin,country,companyStatus
Medy,https://www.eu-startups.com/directory/medy/,Norway,"Medy is transforming healthcare accessibility by offering on-demand home visits from certified healthcare professionals. Through our high-tech platform, we enable fast and seamless booking for physiotherapy, massage therapy, and personal training, with future expansions into areas like chiropractic and psychology. By eliminating inefficiencies in traditional healthcare and leveraging AI-powered dispatch (coming soon), Medy ensures fast response times, top-tier quality, and a frictionless patient experience.","Medy is revolutionizing European healthcare by building the region’s first full-service, home-based healthcare platform. With a mission to simplify healthcare access, Medy connects patients with licensed healthcare professionals, offering services such as physiotherapy, massage therapy, and personal training—right at their doorstep.
Our technology-driven platform ensures a seamless booking experience, real-time appointment tracking, and integrated telemedicine consultations. Unlike traditional healthcare models plagued by inefficiencies, Medy operates without an employee-based structure, allowing for rapid scalability, cost efficiency, and superior service delivery.
Medy has already demonstrated strong traction, with 78% YoY CAGR, 96% customer retention, and a profitable revenue model reaching 8.7M NOK in 2024. With a proven track record in Norway, we are expanding across Scandinavia and into larger European markets, aiming to become the ""Uber for healthcare""—leveraging AI-powered scheduling, real-time dispatch, and a growing network of top-tier professionals.
The demand for home-based healthcare is surging due to aging populations, rising costs, and shifts in consumer behavior. Medy is positioned at the forefront of this transformation, offering a scalable, efficient, and patient-centric solution to one of Europe's most pressing challenges.",Oslo,"health tech, healthcare",No funding announced yet,2021,https://medy.no,https://www.linkedin.com/company/medynorge/,NO,Active
Mynder,https://www.eu-startups.com/directory/mynder/,Norway,"Next-generation AI privacy agent – for businesses and individuals

Mynder is the first personal AI agent designed to revolutionize digital privacy and trust. By making security and control effortless, Mynder ensures safe and seamless access to digital services for everyone. It actively combats digital exclusion and empowers individuals with control over their data. For businesses, Mynder minimizes compliance costs and reduces breach risks, transforming trust into a strategic advantage.","Mynder AS was founded by three female entrepreneurs from Western Norway with a strong vision: to make data privacy simple, accessible, and effective for both individuals and businesses. As cybercrime escalates and privacy regulations grow increasingly complex, the need for innovative, AI-driven solutions has never been greater.
Built on cutting-edge AI and privacy-first architecture, Mynder empowers users by automating security and compliance while maintaining full control over personal data. Unlike traditional solutions, Mynder offers a proactive, user-centric approach that prevents digital exclusion and enhances trust in online interactions.
For businesses, Mynder reduces compliance costs, mitigates breach risks, and ensures adherence to evolving data regulations. Our technology integrates seamlessly with existing systems, providing a scalable and future-proof privacy solution.
Backed by industry experts and supported by strategic partnerships, Mynder is on a mission to redefine digital trust. We are actively expanding into new markets and continuously innovating to stay ahead of emerging privacy challenges.",Bergen,"personal AI agent, GDPR complience",Between €100K-€500K,2023,www.mynder.no,https://www.linkedin.com/company/mynderdatabank/,NO,Active
Nydalen Group,https://www.eu-startups.com/directory/nydalen-group/,Norway,Data-driven Venture Platform with focus on AI and DeepTech-enabled opportunities,,Oslo,"deeptech, ai, vc, pe",No funding announced yet,2020,https://www.nydalengroup.com,https://www.linkedin.com/company/nydalengroup/,NO,Active
Resiliq,https://www.eu-startups.com/directory/resiliq/,Norway,"AI-powered Risk & Decision Intelligence Platform helping data-driven VC / PE, deal and strategy teams streamline Research, Due Diligence and Growth Engineering in Private Markets with help of AI & Quantitative Analysis.",,Oslo,"ai, fintech, markets, quant",No funding announced yet,2023,https://www.resiliq.com,https://www.linkedin.com/company/resiliq/,NO,Active
Medal Social AS,https://www.eu-startups.com/directory/medal-social-as/,Norway,"Medal Social is the trusted platform for AI-powered content marketing, helping teams and creators save time and get started with content creation. With tools to plan, create, and manage content across all channels, Medal Social simplifies the process and provides clear guidance, making it easier to grow your brand and reach your audience effectively.","Medal Social is your ultimate AI-powered content marketing platform, designed to empower teams, creators, and businesses to grow their brand with ease and efficiency. Whether you’re brainstorming fresh ideas, refining your content, or scheduling posts, Medal Social simplifies every step of your content journey. Our platform combines advanced AI tools with an intuitive interface to help you plan, create, and manage content seamlessly across all social media channels.
Key Features:
- AI Assistant: Your personal assistant for content creation, brainstorming, and generating ideas, and transforming concepts into engaging content.
- Content Calendar: A smart planning tool for organizing and scheduling posts, ensuring your social presence stays consistent and effective.
- Engagement Feedback: AI-powered scoring and insights for optimizing posts to maximize engagement.
- Image Creation: Generate stunning visuals with AI for your posts in just a few clicks.
- Idea Hub: Collect and organize creative ideas in one place, turning inspiration into actionable content.
Medal Social isn’t just a tool—it’s a community for creators and marketers. Whether you’re just starting or scaling up, Medal Social provides clear guidance to help you save time, stay organized, and connect with your audience effectively.",Oslo,"AI, Marketing, branding, content creation",No funding announced yet,2023,https://medalsocial.com/,https://www.linkedin.com/company/medalsocial/,NO,Active
Your Personal AI,https://www.eu-startups.com/directory/your-personal-ai/,Norway,"Your Personal AI (YPAI) provides innovative AI solutions, including data collection, generative AI, and automation services, to help businesses streamline operations, enhance efficiency, and achieve strategic goals with ethical and scalable technology.","Your Personal AI (YPAI) is a forward-thinking company specializing in delivering cutting-edge artificial intelligence solutions tailored to meet the unique needs of businesses worldwide. Our services include AI-powered customer service, generative AI applications, voice assistant data collection, and automation technologies that drive efficiency and innovation.
We work across multiple industries, including healthcare, automotive, and education, to provide scalable, ethical, and high-quality AI solutions. With a focus on data accuracy, compliance (e.g., GDPR), and sustainability, YPAI empowers organizations to streamline operations, enhance user experiences, and achieve their strategic goals.
Through our deep expertise and global reach, we are dedicated to advancing the adoption of AI technologies while fostering partnerships and ensuring alignment with our clients' missions and values. Whether you need data collection services, AI-driven insights, or customized AI models, YPAI is your trusted partner in the rapidly evolving world of artificial intelligence.",Oslo,"Artificial Intelligence, Data Collection, Generative AI, Automation",No funding announced yet,2023,https://yourpersonalai.net/,https://www.linkedin.com/company/your-personal-ai/,NO,Active
Lifecycle PLM,https://www.eu-startups.com/directory/lifecycle-plm/,Norway,"Lifecycle PLM is a cutting-edge platform tailored for the fashion industry, designed to streamline product development from start to finish. It integrates essential functions such as tech pack management, order processing, sampling, and shipping into one cohesive system. By enhancing workflow efficiency and fostering seamless team collaboration, Lifecycle PLM helps fashion brands reduce complexity, accelerate production timelines, and maintain a competitive edge in a fast-evolving market.","Lifecycle PLM is an advanced software platform specifically crafted for the fashion industry to optimize and streamline every stage of product development. This comprehensive solution integrates key functions including tech pack management, purchase orders, sampling, and shipping into a single, cohesive system.
The platform is designed to reduce operational complexity and enhance workflow efficiency by centralizing crucial tasks. It facilitates seamless communication and collaboration among teams, ensuring that all stakeholders are aligned and informed throughout the development process.
By automating and synchronizing these processes, Lifecycle PLM accelerates time-to-market, allowing fashion brands to respond more swiftly to trends and market demands. The result is a more agile and efficient development cycle, enabling brands to innovate faster and maintain a competitive edge in the dynamic fashion industry.",Oslo,"FashionTech,ProductDevelopment,TechPackManagement",Between €1-€100K,2023,https://www.lifecycleplm.com,https://www.linkedin.com/in/samlillicrap/,NO,Active
Trademate Sports,https://www.eu-startups.com/directory/trademate-sports/,Norway,Trademate Sports is designed to help sports traders find and act on value bets by analyzing odds discrepancies. The platform offers real-time alerts and detailed performance analytics to improve trading strategies and manage capital.,"Trademate Sports is a platform that enables traders to find value betting opportunities by comparing bookmaker odds with true calculated odds. It sends real-time alerts, helping users act quickly on profitable bets. The platform includes bankroll management tools to help traders optimize their capital and reduce risk. Performance analytics provide insights into trade outcomes, allowing users to refine their strategies over time. With coverage of over 25,000 events annually across 8 major sports, Trademate offers extensive betting options. The platform supports over 100 bookmakers, giving users access to a wide range of betting markets. Trademate Sports caters to both beginner and professional traders looking to improve their performance.",Oslo,"SaaS, Startup, Sports, Fintech, Trading, Sports Tech, Data Analytics, Analytics Tool",No funding announced yet,2022,https://www.tradematesports.com,,NO,Active
Swayle,https://www.eu-startups.com/directory/swayle/,Norway,"Swayle is all about making sales smarter and more personalized. We’ve created a tool that helps sales teams connect with their prospects in a way that feels natural and human, but without all the time-consuming manual work. Our platform uses AI to gather detailed information about each prospect and then helps craft personalized outreach that really resonates. The best part? It all integrates seamlessly with HubSpot, so salespeople can keep using the tools they’re already familiar with.

In a nutshell, Swayle takes the guesswork out of sales outreach, making it easier for teams to engage with the right people at the right time, and ultimately close more deals. We’re focused on helping businesses improve their sales process by combining the power of AI with the personal touch that’s so crucial in building relationships.","Many sales teams struggle with the same issue: they spend too much time on repetitive tasks like gathering information about prospects and personalizing their outreach. This process is not only time-consuming but also inefficient. Salespeople often end up sending generic emails because they just don’t have the bandwidth to personalize every message properly. This means they miss out on opportunities to really connect with potential customers.
This is a big problem because, in today’s world, people expect personalized communication. If a prospect feels like they’re just another name on a list, they’re less likely to respond or engage. This lack of personalization leads to lower response rates, fewer meaningful conversations, and ultimately, fewer deals closed. For sales teams, that means a lot of wasted time and effort with little to show for it.
Solving this problem would mean that sales teams can reach out to prospects in a way that feels relevant and thoughtful. It would make their communication more effective, leading to higher response rates, better relationships with prospects, and more closed deals. In short, it would make their sales process much more efficient and successful.
Swayle solves this problem by using AI to take care of the heavy lifting. Our platform automatically gathers detailed information about each prospect, like their role, company, and recent activities. It then uses this information to help sales teams craft personalized messages that really speak to the prospect’s needs and interests. And because Swayle is fully integrated with HubSpot, all of this happens right within the tools that salespeople are already using, making it easy and seamless. This means sales teams can spend less time on repetitive tasks and more time building relationships and closing deals.",Oslo,"Sales, AI, Sales Automation,",Between €1-€100K,2022,https://swayle.ai,https://linkedin.com/company/77580374,NO,Active
Newcode.ai,https://www.eu-startups.com/directory/newcodeai/,Norway,"Newcode.ai is a Norwegian AI startup dedicated to revolutionizing the legal industry with its agnostic generative AI platform. Our mission is to make sophisticated AI tools accessible and functional for legal professionals, enabling them to focus on high-value tasks and drive innovation within their practice.","Newcode.ai is at the forefront of AI innovation, specifically tailored to transform the legal industry. As a Norwegian AI startup, our vision is to democratize access to advanced AI tools, making them both accessible and functional for legal professionals. We believe that by enabling lawyers to focus on high-value tasks, we can drive significant innovation and efficiency within the legal sector.
Our Vision: At Newcode.ai, we aim to revolutionize the legal industry by making AI integration straightforward and beneficial. Our goal is to empower legal professionals to leverage AI technology to enhance efficiency, creativity, and decision-making processes without requiring deep technical knowledge.
What We Offer: Our comprehensive AI platform features over 24 out-of-the-box capabilities designed to automate and accelerate legal tasks seamlessly. Whether you're looking to automate routine tasks, enhance data analysis, or create new AI-driven solutions, Newcode.ai is your partner in innovation.
Industries We Serve: While our platform is versatile and scalable across various sectors, we have a specialized focus on the legal industry. From law firms to in-house legal departments, Newcode.ai is designed to meet the unique needs of legal professionals.",Oslo,"ai, software, genai, llm",Between €1 million-€ 2.5 million,2021,newcode.ai,https://www.linkedin.com/company/newcode-ai/,NO,Active
Bsure,https://www.eu-startups.com/directory/bsure/,Norway,Bsure has developed an innovative application that helps businesses manage and reduce their ever-increasing software- and subscription costs while enhancing security.,"Bsure has developed an innovative application that helps businesses manage and reduce their ever-increasing software- and subscription costs while enhancing security. In a world where the transition to the cloud renders traditional IT department processes obsolete due to increased accessibility, companies need advanced tools to handle this complexity effectively.",Oslo,"Software, cost-saving, security, identity management",Between €100K-€500K,2022,www.bsure.io,https://www.linkedin.com/company/88402398/admin/dashboard/,NO,Active
Infinigrid,https://www.eu-startups.com/directory/infinigrid/,Norway,Real-time analysis and risk forecasting to optimize grid operations using SaaS.,"Promaps provides you with holistic, real-time insights essential for efficiently operating your grid and preparing it for the ongoing energy transition. Our probabilistic risk management solution helps identify and mitigate risks within your system, allowing you to capitalize on future opportunities more swiftly.
Leveraging big data and a digital twin of your power system, in concert with proprietary mathematic modeling, we calculate the anticipated energy that will not be delivered. Our proprietary software employs Markov models to continuously enhance your risk management capabilities and harness technological advancements.
Our goal is to be your trusted partner in managing all aspects of your grid operations.
Software features encompass:
Data APIs can connect Promaps technology to operations systems / digital twin platform, and third-party data like weather data
Real-time probabilistic risk calculations of your power system
Failure probability for each component, branch and system
Risk for loss of load in MWh/h for each load and the whole system
Web-based operational dashboard for intuitive live reports and overall system status
Model scenarios and test risk mitigation actions and strategies on a digital twin of your power system",Oslo,Real-time insights to seucurity of power supply,No funding announced yet,2023,https://infinigrid.ai/,https://www.linkedin.com/company/99967151/admin/feed/posts/,NO,Active
Tigeni,https://www.eu-startups.com/directory/tigeni/,Norway,"We are simplifying personal health control, by making clinically proven testing readily available to the public.",,Asker,Health,Above €25 million,2018,https://www.tigeni.com/,https://www.linkedin.com/company/tigeni,NO,Active
SYRENNA,https://www.eu-startups.com/directory/syrenna/,Norway,"SYRENNA collects, processes and visualizes data from our WaterDrones, providing underwater intelligence to the world.",,Oslo,BigData,Between €100K-€500K,2022,https://www.syrenna.com/,https://www.linkedin.com/company/syrenna/,NO,Active
NorsjÃ³r,https://www.eu-startups.com/directory/norsjor/,Norway,Norsjór was established in early 2021 to solve the significant problem associated with biofouling on ship hulls.,,Kristiansand,Sustainability,Between €100K-€500K,2021,https://www.norsjor.com/,https://www.linkedin.com/company/norsjor-as/,NO,Active
Neomare,https://www.eu-startups.com/directory/neomare/,Norway,neomare specialise in providing intelligent subsea imaging with a quality never seen before.,,Lillestrøm,BigData,Between €100K-€500K,2020,https://www.neomare.no/,,NO,Active
Mitigrate,https://www.eu-startups.com/directory/mitigrate/,Norway,Mitigrate is a sustainability company backed by the venture capital firm Antler.,,Oslo,"Fintech, Sustainability",Between €100K-€500K,2021,https://www.mitigrate.com/,https://www.linkedin.com/company/mitigrate/,NO,Active
Kvikk Insurance,https://www.eu-startups.com/directory/kvikk-insurance/,Norway,What's the point of being insured in Cambodia when you're binging shows at home? Why should you pay an annual fee for a few weeks of travelling abroad?,,Bergen,Insurtech,Between €1-€100K,2021,https://www.kvikkforsikring.no/,,NO,Active
Unicorn Platform,https://www.eu-startups.com/directory/unicorn-platform/,Norway,"Experience the pinnacle of website creation with Unicorn Platform’s AI: intuitive editing, custom HTML, and smart content generation at your fingertips.

Member of marsx.dev family
Got a question or wanna say hi?
I’m on Twitter: @johnrushx","Unicorn Platform's new AI version brings website building to a whole new level. With AI-powered block editing, custom HTML code insertion, and content generation, building a stunning website has never been easier. Fixing grammar errors, creating contact forms, and adding CTAs are now quick and effortless thanks to AI assistance. Say goodbye to the hassle of website building and hello to the simplicity and efficiency of Unicorn Platform's new AI version.
Member of marsx.dev family
Got a question or wanna say hi?
I’m on Twitter: @johnrushx",Oslo,"CMS, websitebuilder",Between €500K-€ 1 million,2022,https://unicornplatform.com/,https://www.linkedin.com/in/johnrushx/,NO,Active
Element One Energy,https://www.eu-startups.com/directory/element-one-energy/,Norway,Element One Energy (EoneE) develop the future of green hydrogen energy,,Bergen,Sustainability,Between €1 million-€ 2.5 million,2021,https://www.eonee.no/,https://www.linkedin.com/company/eonee,NO,Active
Windyfi,https://www.eu-startups.com/directory/windyfi/,Norway,Conceptr (formerly Windyfi) is a SaaS tool for generative concept development for renewables starting with wind.,,Oslo,"Big Data, Energy, SaaS",Above €25 million,2022,https://www.conceptr.ai/,https://www.linkedin.com/company/conceptrai/,NO,Active
Bev/ART,https://www.eu-startups.com/directory/bevart/,Norway,Protecting fine art and cultural heritage with IoT-technology,,Trondheim,"Art & Culture, IoT, Retail",No funding announced yet,2022,https://www.bev.art,https://www.linkedin.com/company/bev-art/,NO,Active
Bev/ART,https://www.eu-startups.com/directory/bevart/,Norway,Protecting fine art and cultural heritage with IoT-technology,,Trondheim,"Art & Culture, IoT, Retail",No funding announced yet,2022,https://www.bev.art,https://www.linkedin.com/company/bev-art/,NO,Active
Annuum,https://www.eu-startups.com/directory/annuum/,Norway,Optimising the commercial real estate investment process,,Oslo,Real Estate,Between €100K-€500K,2023,https://www.annuum.io/,https://www.linkedin.com/company/annuum,NO,Active
Ankerdb,https://www.eu-startups.com/directory/ankerdb/,Norway,You don't need a mysterious script guru anymore to do the most fundamental parts of delivering on BIM requirements.,,Oslo,"Construction, SaaS, Software",Above €25 million,2023,https://www.ankerdb.com/,https://www.linkedin.com/company/ankerdb/,NO,Active
We will write,https://www.eu-startups.com/directory/we-will-write/,Norway,"WeWillWrite is an EdTech-startup with a vision of giving students joy in writing, a sense of mastery, and a shared creative writing culture in the classroom.",,oslo,"Education, EdTech, SaaS",Between €1 million-€ 2.5 million,2023,https://wewillwrite.com/,,NO,Active
WeMe Facilitators,https://www.eu-startups.com/directory/weme-facilitators/,Norway,WeMe is a Norwegian Wellbeing Tech Startup developing AI-based SaaS tools for employees and managers.,,Borgen,"Health, SaaS",Above €25 million,2020,https://weme.eco/,https://linkedin.com/company/wemefacilitators,NO,Active
VIERLIVE,https://www.eu-startups.com/directory/vierlive/,Norway,A platform to monetize the entire artist brand.,,Oslo,"Entertainment, Media, SaaS",Above €25 million,2020,https://vier.live/,https://www.linkedin.com/company/vierlive,NO,Active
Versiro,https://www.eu-startups.com/directory/versiro/,Norway,Versiro develops software that provides tailor-made strategies for power producers operating in uncertain electricity markets.,,Trondheim,SaaS,Above €25 million,2022,https://versiro.com/,https://www.linkedin.com/company/versiro/,NO,Active
UX Signals AS,https://www.eu-startups.com/directory/ux-signals-as/,Norway,"To build better products, talk to your users.",,Oslo,"AI, Productivity, User Research",Between €100K-€500K,2022,https://uxsignals.com/,https://linkedin.com/company/uxsignals/,NO,Active
Skarv Technologies,https://www.eu-startups.com/directory/skarv-technologies/,Norway,Skarv Technologies AS is founded by four PhDs from the Norwegian University of Science and Technology and the Applied Underwater Robotics Laboratory.,,Trondheim,"AI, Marine Technology, Robotics",Between €100K-€500K,2019,https://skarvtech.com/,https://no.linkedin.com/company/skarvtech,NO,Active
Cofondr,https://www.eu-startups.com/directory/cofondr/,Norway,"Cofondr: Simplifying Success for Devepreneurs - Our service is designed to take care of the tedious tasks, so you can dedicate your energy to what you do best: coding and marketing.","Cofondr is a service for devepreneurs that takes care of all the boring and routine tasks for you, so you can focus on the important stuff: coding and marketing. It uses the power of both artificial intelligence and human expertise to handle various tasks that would otherwise consume your time and energy. From managing your accounting and organizing business operations to providing customer support on your behalf and handling design needs, Cofondr has got you covered. Cofondr is your go-to tool for streamlining your workflow and freeing you up to focus on what truly matters.
Member of marsx.dev family
Got a question or wanna say hi?
I’m on Twitter: @johnrushx",Oslo,"marketing, business",No funding announced yet,2024,https://cofondr.com/,https://www.linkedin.com/in/johnrushx/,NO,Active
Repairable,https://www.eu-startups.com/directory/repairable/,Norway,Vi gjør det enkelt å reparere og tilby reparasjon.,,Oslo,Sustainability,No funding announced yet,2020,https://repairable.no/,,NO,Active
Reprice,https://www.eu-startups.com/directory/reprice/,Norway,Running a successful online store in today's market requires more than just great products and excellent customer service.,,Sandefjord,"AI, E-Commerce, Retail",Between €5 million-€10 million,2020,https://reprice.no/,,NO,Active
Recharge Health,https://www.eu-startups.com/directory/recharge-health/,Norway,Recharge Health is an international medical device company in the transition from a startup to a structured scaleup.,,Oslo,Health,Above €25 million,2018,https://recharge.health/,https://www.linkedin.com/company/rechargeyourhealth/,NO,Active
Quantitas Energy,https://www.eu-startups.com/directory/quantitas-energy/,Norway,Quantitas Energy is enabling and accelerating the energy transition by making utility-scale storage system investable,,Oslo,Fintech,Between €500K-€ 1 million,2023,https://quantitas-energy.com/,,NO,Active
Ocean Sun,https://www.eu-startups.com/directory/ocean-sun/,Norway,Inspired by Norway’s maritime heritage Ocean Sun has developed a patented solution for a floating power system with solar panels.,,Fornebu,CleanTech,Between €5 million-€10 million,2016,https://oceansun.no/,https://www.linkedin.com/company/ocean-sun/,NO,Active
Kobla,https://www.eu-startups.com/directory/kobla/,Norway,"Kobla AS is a startup company based in Drammen outside Oslo, Norway. Our main product is the Kobla app, which we have introduced in seven different municipalities in Norway and Sweden.",,Drammen,"BigData, Transportation",Between €500K-€ 1 million,2019,https://kobla.no/en/,https://www.linkedin.com/company/kobla-as/,NO,Active
Geniess,https://www.eu-startups.com/directory/geniess/,Norway,We're building Geniess to catalyze the distributed energy storage revolution.,,Oslo,"AI, Energy, SaaS, Storage",Between €100K-€500K,2021,https://geniess.io/,https://www.linkedin.com/company/geniess/,NO,Active
Dorysign,https://www.eu-startups.com/directory/dorysign/,Norway,"We want everyone to have their perfect door sign. That's why we made Dory – the world's most beautiful, personal and functional door sign. The Door Sign Reinvented.",,Oslo,Lifestyle,Between €500K-€ 1 million,2021,https://dorysign.com/,https://www.linkedin.com/company/dorysign/,NO,Active
Diri AS,https://www.eu-startups.com/directory/diri-as/,Norway,"Diri is a GRC (governance, risk, and compliance) SaaS software with emphasis on risk management and privacy compliance.",,Gjøvic,"Cybersecurity, GRC, SaaS",Between €2.5 million-5 million,2020,https://diri.no/,https://www.linkedin.com/company/diri-as/,NO,Active
Conceptr,https://www.eu-startups.com/directory/conceptr/,Norway,Conceptr (formerly Windyfi) is a SaaS tool for generative concept development for renewables starting with wind. Conceptr democratizes renewable project development by enabling non-technical users to generate holistic and integrated concepts based on minimum inputs in minutes instead of months.,Conceptr (formerly Windyfi) is a SaaS tool for generative concept development for renewables starting with wind. Conceptr democratizes renewable project development by enabling non-technical users to generate holistic and integrated concepts based on minimum inputs in minutes instead of months.,Oslo,SaaS,Above €25 million,2022,https://conceptr.ai/,https://www.linkedin.com/company/conceptrai/,NO,Active
