name,link,category,businessDescription,longBusinessDescription,basedIn,tags,totalFunding,founded,website,companyStatus,linkedin,country
Book My Culture,https://www.eu-startups.com/directory/book-my-culture/,Cyprus,"Book My Culture is an OTA, where travelers can book their online tickets for authentic & immersive travel experiences, provided by local businesses, organizations and municipal communities, emphasizing each destination's unique customs and traditions. Additionally, they can find the local festivals happening in Europe. Book My Culture is an online travel agency (OTA) for travelers & visitors to book online tickets for authentic travel experiences to help them be part of the local culture.",,Cyprus,"Travel Arrangements, Sustainability,",Between €100K-€500K,2025,https://www.bookmyculture.com,Active,https://www.linkedin.com/company/book-my-culture/,CY
ai4grants,https://www.eu-startups.com/directory/ai4grants/,Cyprus,"ai4grants is an AI-powered platform that matches startups and SMEs with relevant funding opportunities and assists in writing grant applications. Our AI analyzes databases from the EU, World Bank, and UN to provide tailored recommendations. The platform streamlines the funding process with automated matching, application support, and a freemium model offering premium AI-driven proposal writing and expert consultancy.",,Nicosia,"AI, Financial Services, Funding",Between €100K-€500K,2024,https://ai4grants.net/,Active,https://www.linkedin.com/company/ai4grants/,CY
Algebras AI,https://www.eu-startups.com/directory/algebras-ai/,Cyprus,"We scale companies worldwide with power of AI localization solution, with particularly high accuracy of translation in non-English languages. Algebras AI is transforming how businesses localize content for global markets. Our AI-powered platform provides highly accurate, culturally adapted translations across 300+ languages, specializing in Asian and MENA regions.",,Limassol,"AI, Machine Learning, Machine Translation, Localization",Between €100K-€500K,2024,https://www.algebras.ai/,Active,https://www.linkedin.com/company/algebras-ai/,CY
NEEMALABS,https://www.eu-startups.com/directory/neemalabs/,Cyprus,"VELO, NEEMALabs' spearhead product, represents a groundbreaking innovation in leather alternatives by utilizing only natural and waste-derived materials to create a durable and scalable bio-based product. Unlike conventional synthetic or plant-synthetic hybrids, VELO achieves functional integrity without relying on petroleum-based components. This approach not only enhances sustainability but also promotes a closed-loop, plastic-free system that minimizes environmental impact.",,Nicosia,"Sustainable materials, Biopolymers, Natural fibers, Biotechnology Research",Between €100K-€500K,2024,https://www.neemalabs.com/,Active,https://www.linkedin.com/company/neema-labs/,CY
RELOC8 ONLINE,https://www.eu-startups.com/directory/reloc8-online/,Cyprus,"Our company, Reloc8 Online, is developing an AI web application to help people and companies protect their assets and reduce their tax bills by relocating to new countries. We do this using an AI automated tool which simplifies tax migration in a few clicks. We offer tailor-made International Tax Strategies to minimize liabilities.",,Limassol,"AI, Business Consulting, Services, Tax Migration Strategies",Between €100K-€500K,2024,https://reloc8.online,Active,https://www.linkedin.com/company/reloc8-online,CY
MammoCheck,https://www.eu-startups.com/directory/mammocheck/,Cyprus,"The MammoCheck medical device enables at-home breast cancer examinations using a smartphone, an affordable thermal camera, and our advanced AI algorithms. Users capture a few thermal images of their breasts, which our algorithm analyzes to predict and locate potential tumors. This empowers women to manage their breast health in a way that is affordable, accurate, pain-free, radiation-free, and accessible anytime, anywhere.",,Nicosia,"Home Health Care Services, AI, Health Monitoring",Between €100K-€500K,2024,https://mammocheck.co,Active,https://www.linkedin.com/company/mammocheck/,CY
pit-to-table,https://www.eu-startups.com/directory/pit-to-table/,Cyprus,"We take discarded olive pits, a by-product of olive oil manufacturing, put them through non-harmful processes, and create a brand new building material suitable for all indoor applications. Our business model is b2b dealing directly with architects, main contractors and furniture makers. Sustainable table tops made from discarded olive pits.",,Cyprus,"Design Services, Sustainable, Reducing organic waste",Between €100K-€500K,2023,https://pit-to-table.com/,Active,https://www.linkedin.com/company/pit-to-table/,CY
V.G. Freyia Labs,https://www.eu-startups.com/directory/vg-freyia-labs/,Cyprus,"F.O.R.S.E.T.I.X. is an AI-powered platform that optimises fermentation processes for hobbyists, small producers, and industrial users. It combines real-time monitoring, predictive feedback, and customisable workflows to improve consistency, reduce waste, and scale production efficiently. The platform operates on a subscription-based model, offering affordable tools for hobbyists and premium features for enterprises, including advanced analytics and sustainability-focused insights.",,Nicosia,"Fermentation, Functional foods, Biotechnology Research",Between €100K-€500K,2023,https://www.freyialabs.com/,Active,https://www.linkedin.com/company/freyialabs/,CY
E-mbracelet,https://www.eu-startups.com/directory/e-mbracelet/,Cyprus,"E-mbracelet is an innovative software solution designed specifically for individuals with Autism Spectrum Disorder (ASD) who experience noise sensitivity. Through continuous heart rate monitoring and sound analysis using a smartwatch worn by the individual, E-mbracelet identifies triggering sounds, helping to prevent potential crises effectively. Our business model follows both a B2C and B2B approach, offering a monthly subscription plan for individuals, caregivers, and institutions such as therapy centers and schools.",,Nicosia,"Software Development, Mobile App, Revolutionizing ASD care",Between €100K-€500K,2023,https://e-mbracelet.com/,Active,https://www.linkedin.com/company/e-mbracelet/,CY
Build a Box,https://www.eu-startups.com/directory/build-a-box/,Cyprus,"Build a Box is an innovative beauty gift platform that allows customers to create personalized gift boxes and send them out in just a few clicks. 
 
With our smart gift builder, users can choose a box, select from a handpicked collection of popular beauty products, add a greeting card, and personalize their message, making the gifting experience quick, simple, and enjoyable.
 
 Our mission is to simplify and elevate the art of gifting for today’s busy individuals.",,Nicossia,"Retail, Gift Shop, Original Products",Between €100K-€500K,2023,https://buildabox.com.cy/,Active,https://www.linkedin.com/company/build-a-box-cyprus/,CY
Miranna,https://www.eu-startups.com/directory/miranna/,Cyprus,"Miranna's model combines a free-to-download app with revenue generated through transaction fees (20% per session), premium packages for top mentors, and potential B2B offerings. Users gain access to verified female coaches, educational videos, personalized 1:1 coaching sessions, and a 24/7 AI coaching assistant designed specifically for women’s needs. By integrating these services into one app, Miranna creates a seamless experience for working women, addressing their challenges effectively while building a scalable revenue stream.",,Limassol,"AI, Education, Coaching, Mentoring app",Between €100K-€500K,2023,https://miranna.com,Active,https://www.linkedin.com/company/miranna-io/,CY
MamaCRM,https://www.eu-startups.com/directory/mamacrm/,Cyprus,"MamaCRM’s purpose is to simplify and automate daily tasks such as managing customers’ social media strategies, creating content, overseeing social media and customer relationships, and allowing users to focus on their social media marketing strategy. MamaCRM is the all-in-one social media marketing & management platform that brings marketing strategy, social media management and CRM to one place. Align your marketing goals with powerful social media marketing objectives.",,Strovolos,"Software Development, CRM, Social Media Management, Marketing",Between €100K-€500K,2022,https://mamacrm.com,Active,https://www.linkedin.com/company/mamacrm/,CY
Bitloops,https://www.eu-startups.com/directory/bitloops/,Cyprus,"Software development copilot, specifically for frontend engineers. Convert designs into professionally written code and continue iterating and building your codebase. Bitloops is your AI-powered Frontend Copilot.",,Nicosia,"Software Development, SaaS, Developer Tools, Hosting",Between €500K-€ 1 million,2022,https://bitloops.com,Active,https://www.linkedin.com/company/bitloops/,CY
Podqi,https://www.eu-startups.com/directory/podqi/,Cyprus,"Podqi helps brands and entertainment organizations automate monitoring, takedown, and retroactive compensation for infringement on their IP","Podqi is an AI-powered platform specifically designed for brands and entertainment organizations to automate monitoring, takedown, and retroactive compensation for infringement on their portfolio of intellectual property. They provide full-scale protection for image and trademarks, spanning from counterfeit goods to digital imagery and everything in between. Their core focus is to combat the millions ($) in revenue lost to illegal infringers and surface opportunities for licensing or legal compensation from the biggest perpetrators.",Larnaka,"SaaS, Startup, Legal Tech, Brand Protection, IP Protection",Between €1 million-€ 2.5 million,2024,https://podqi.com/,Active,https://www.linkedin.com/company/podqi/,CY
eSImo,https://www.eu-startups.com/directory/esimo/,Cyprus,"eSIMo.io Stay connected anywhere with affordable eSIMs
Travel smart and save big with eSIMo's
easy-to-use eSIMs - your ticket to seamless connectivity worldwide!",,Limassol,"esim,buy esim,travel esim,global esim",Between €1-€100K,2023,https://www.esimo.io/,Active,https://www.linkedin.com/company/esimo.io/?originalSubdomain=il,CY
SPAYZ.io,https://www.eu-startups.com/directory/spayzio/,Cyprus,"SPAYZ.io is a global payment provider which enables seamless payments and growth across Asia, Africa and Europe. With over a decade of experience, we connect businesses to the future of finance — Open Banking, Mass Payouts, Bank Transfers, eWallets, Online Banking and Card Acquiring services

Built for speed, scale, and simplicity.

Welcome to the next-gen payment space — SPAYZ.io.","At SPAYZ.io, we aim to develop creative, secure payment solutions tailored to various business needs. Our mission is to be a leader in Payments and Alternative Payment methods, providing Top Security and Reliability.",Cyprus,"Payment, Global Provider, Gateway, Fintech",No funding announced yet,2019,https://www.spayz.io/,Active,https://www.linkedin.com/company/spayz-io,CY
Bridge,https://www.eu-startups.com/directory/bridge/,Cyprus,Smart digital workspace for modern teams,"Bridge combines all essential business tools for collaboration and smart automation: messenger, task tracker, docs, databases, AI copilot & custom AI engine to create digital assistants that live and evolve with workspace",Limassol,"workspace, messenger, operating system",No funding announced yet,2024,https://bridgeapp.ai,Active,https://www.linkedin.com/company/math-and-magic,CY
NotesPilot,https://www.eu-startups.com/directory/notespilot/,Cyprus,NotesPilot helps to create better content faster with AI-powered writing assistants with different writing styles and settings.,,Limassol,"note-taking, ai-assistant, writing, content",No funding announced yet,2024,https://www.notespilot.com,Active,,CY
Zolvat,https://www.eu-startups.com/directory/zolvat/,Cyprus,A licensed Electronic Money Institution (EMI) providing innovative payment services.,"Zolvat is a Cyprus-based licensed Electronic Money Institution (EMI) and Payment Service Provider (PSP), offering secure and seamless electronic money issuance, SEPA and SWIFT transfers, White label, Banking-as-a-Service (BaaS), card acquiring (eCommerce and POS), and card issuing services. Built on proprietary core banking and compliance technology, Zolvat focuses on efficient onboarding, transaction monitoring, and regulatory compliance. Zolvat's mission is to simplify digital payments for individuals and businesses across Europe while maintaining the highest standards of risk management, transparency, and service.",Limassol,"EMI, fintech, digital payments",No funding announced yet,2021,https://zolvat.com,Active,https://www.linkedin.com/company/zolvat/,CY
Vaiz,https://www.eu-startups.com/directory/vaiz/,Cyprus,One platform for Tasks & Documents,"Vaiz is an all-in-one platform that centralizes task management and document collaboration. With a unified workspace, teams can plan, track, and complete workflows efficiently without juggling multiple tools.",Limassol,"Project Management, Task Management",No funding announced yet,2024,https://vaiz.com,Active,https://www.linkedin.com/company/vaiz/,CY
EFPF Ltd,https://www.eu-startups.com/directory/efpf-ltd/,Cyprus,Eco Pool Filters,"EFPF LTD
                                      Eco Pool Filters
The Eco Pool Filter – an-easy-to-use filter, that vastly reduces energy, water, chemical usage and related costs.
Cyprus registered company HE 455836
Incorporated 26th January 2024
Directors and shareholders – Nick and Jill Gardner
Accountant and Secretary – Nick Gardner - Nick has over 30 years experience in filters, pumps, pools and other water related products. He has run his own businesses for 18 years. Nick is also an accountant and headed a Trust company accounts department for 6 years.  
Save billions of litres of water and electricity annually worldwide.
Water is crucial to life. Energy consumption is a worldwide issue. 
The Problem.
More than 45 billion litres of water are wasted annually across southern Europe’s residential pools alone through backwashing of swimming pool sand and glass media filters (note 1) which remove particle matter greater than 40 micron and require 6 to 8 hours of circulation per day during the summer. (Note 2) 
The Solution. The Eco Pool Filter by EFPF LTD designed and developed by Nick Gardner
How do we save this needless, vast waste of water and energy? A cleverly designed, yet simple filter that also reduces chlorine and other environmentally damaging chemical usage – the EFPF Filter. The Eco Pool Filter significantly reduces energy and water consumption, especially relevant in hot, arid climates where water is scarce. We are looking for an investor to be part of this solution.
Key Advantages:
Reduce electricity usage by more than 25% (Note 2)
Saves more than 90% water (Note 3)
No need to ever vacuum to waste
        – a further saving of water and electricity (Note 4)
Saves time
Easy to use and clean
Unique cartridge filter, patent pending (Note 5)
Lowers chlorine and other harmful chemical usage (Note 6)
Extended pump life (Note 7)
Cost effective (Note 8)
Competitive pricing (Note 10)
 Each filter uses less than 150 litres per annum for cleaning, potentially saving 44 billion litres of water in southern Europe and a bonus saving of 3.8 million KWH of electricity. 
Marketing:
We have engaged Click Marketing (www.clickmarketing.co.uk) to undertake professional branding and build a website with online sales and shipping to reach the global market. To drive additional sales Amazon and retail pool product outlets will be used.
Capturing just 1% of just the southern European market will realise a turnover of Euro 6 million with a potential pretax profit of Euro 4.5 million. We already have a contact looking into the Australian market worth 1.5 million based on 1% of domestic pools. Add to this the ongoing after sale market of the filter cartridges that are unique to EFPF, this is a solid investment opportunity.  
Additional funding:  
To date we have invested Euro 47,530 in this cost saving, ecofriendly project. We own all the moulds, a prototype has been tested over 18 months with excellent results and we are ready to go to production.
To launch the first 1,000 units onto the market an additional Euro 27,000 is required. This will cover all costs involved as per the budget on page 4 below.
We are seeking an investment of Euro 27,000 at 11% in return for 10% shareholding in this lucrative business.
Notes:
1.	An average domestic pool (40,000 litres) sand filter is backwashed 12 or more times per annum. Some pool cleaning companies recommend every week through the summer. Each backwash lasts around 3 minutes resulting in waste of 600 litres of water or a minimum of 7,200 litres per annum. There are more than 6.5 million residential pools in southern Europe equating to more than 45 billion litres of water wasted per annum.
2.	A prototype of EFPF filter was tested over a period of 18 months on a pool that is subject to high volumes of dust and debris. During the summer months the pool was filtered for a maximum of 3 hours per day and no problems developed. This proves that with EFPF filter filtration time can safely be lowered to 4 hours per day, compared with a minimum of 6 hours per day when using a sand filter, a saving of over 25%. 40,000 litre pools need a minimum 1 KW pump, saving 2 KWH per day equates to saving over Euro 220 per annum based on Cyprus current electricity rates. This saves more than the cost of an EFPF filter in the 1st year.
3.	Trials of the EFPF filter on a pool that is subject to well above normal levels of debris, dust and other foreign matter have proved that the filter requires less than 10 litres of water per clean, 12 times per annum, a saving of at least 7,080 litres per annum, well above 90%.
4.	Sand or glass filters do not filter out fine dust, algae or other particles and, if not vacuumed to waste, return to the pool. EFPF alleviates this problem completely. A further water and energy saving.
5.	The EFPF filter uses a unique cartridge filter that incorporates a debris basket, the only cartridge of this type worldwide. The key advantage is its ease of cleaning. We already own the mould for this filter cartridge and it is patent pending. The filter cartridge is antibacterial reducing risk of ear and other infections.
6.	Every time you backwash it is not only the water that is wasted, the chlorine and other chemicals previously added to that water go down the drain too. In addition, normal backwashing of sand or glass filters does not get rid of all the bacteria and foreign matter which results in higher usage of chlorine and other environmentally damaging chemicals.
7.	The EFPF filter is installed in the vacuum line preventing any foreign matter from getting to the pump which can damage the impellor and other pump parts resulting in premature failure of the pump.
8.	Other cartridge filters designed for use with 40,000 litres pools are more than double the retail cost of the EFPF filter and they are all installed after the pump so any foreign matter that is not trapped in the pump basket goes through the pump causing wear to the impellor and other parts. In addition, the pump basket needs to be emptied frequently as well as cleaning the filter.
9.	Free up space. Pool rooms are often small, the sand filter and related parts taking up most of the space. The Eco Pool Filter takes up far less space and the bulky sand filter is no longer needed.
10.	The Eco Pool Filter will retail at Euro 120 for a complete unit. Other brands of cartridge filters such as Hayward and Astral retail for over Euro 250 and do not offer the unique Eco Pool Filter advantages.
EFPF LTD  Budget							
Capital Expenses to 28th February 2025					
Moulds					        36500			
Capital expenditure				36500			
Projected profit and loss account - first year trading
March 2025 to February 2026						
Income					Euro		Euro	
Direct sales 	800 units @ Euro 120 (excl VAT)		96000
Agent sales	1200 units @ Euro 80 (excl VAT)		96000	
Income for the year						       192000	
Expenses								
Company setup			                 	1300
Development costs				        1850
Production filter housing 2,000 units		18500
Production cartridges 3,000 units		16800
Shipping					                7000
Marketing				                        4000
Duty 					                2200
Storage					                1440
Packaging 				                        2000
Sundry					                2000
					 		     (57090)	
Gross pre tax profit						       134910	
Year 2:
Sales                                                                        350,000
Expenses                                                                   (90,000)
Gross pre tax profit                                                    260,000",Argaka,"Green, innovative, energy saving",No funding announced yet,2024,In progress,Active,,CY
Foot Africa,https://www.eu-startups.com/directory/foot-africa/,Cyprus,"Foot Africa stands out as the leading reference portal for football news across the African continent. It highlights the achievements of African footballers globally, shares backstage interviews, covers match analyses, and provides exclusive articles on African football culture. Besides, it is a comprehensive and interactive portal designed to become a platform for the exchange of opinions among fans of football.",,"Nicosia, Nicosia","Sports, Media and Entertainment, Digital Media, News, Football, Africa, Media, Sport, Sports Data, Sports Events",No funding announced yet,2009,https://foot-africa.com,,,CY
drastyc,https://www.eu-startups.com/directory/drastyc/,Cyprus,"drastyc empowers organizations to unlock the full potential of their data, driving growth, innovation, and operational efficiency. 

As experts in data analytics, they go beyond reports, uncovering actionable insights and trends that give businesses a competitive edge. 

Their extensive experience in data engineering ensures a robust data foundation and seamless data pipelines, supporting advanced analytics. 

With a focus on data analytics, drastyc designs intuitive solutions for informed decision-making. Additionally, their process automation solutions streamline workflows, boost productivity, and free up valuable resources by automating repetitive tasks.",,Nicosia,"data, analytics, AI, automation",No funding announced yet,2022,https://www.drastyc.net,,https://www.linkedin.com/company/drastyc,CY
AINIRO AI Agent,https://www.eu-startups.com/directory/ainiro-ai-agent/,Cyprus,"AINIRO.IO empowers businesses to create custom AI chatbots and agents using ChatGPT and their own data, boosting productivity by 55% with a no-code platform. Launch your AI chatbot SaaS or enhance your operations with secure, speech-enabled AI solutions tailored to your needs.",,"Larnaca, Oroklini","ai, chatbot, artificial intelligence, chatgpt, data, website, custom chatbot, low-code, no-code, software development, and automation",Between €500K-€ 1 million,2023,http://ainiro.io,Active,https://www.linkedin.com/company/ainiro-io/posts/?feedView=all,CY
